Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
231,0.0 , 0.0 ,0.0 , 0.0 ,49.5 , 0.0 ,1.7 , 0.0 ,15.1 , 0.0 ,0.0 , 2.1
236,0.0 , 0.0 ,0.0 , 0.0 ,49.6 , 0.0 ,1.7 , 0.0 ,15.5 , 8.5 ,0.0 , 2.2
242,0.0 , 0.0 ,0.0 , 0.0 ,49.7 , 0.0 ,1.8 , 0.0 ,16.3 , 8.5 ,0.0 , 2.2
248,0.0 , 0.0 ,0.0 , 0.0 ,49.5 , 0.0 ,1.8 , 0.0 ,17.0 , 8.5 ,0.0 , 2.3
253,0.0 , 0.0 ,0.0 , 0.0 ,49.3 , 0.0 ,1.8 , 0.0 ,17.6 , 8.5 ,0.0 , 2.3
259,0.0 , 0.0 ,0.0 , 0.0 ,49.4 , 0.0 ,1.8 , 0.0 ,18.2 , 8.5 ,0.0 , 2.3
265,0.0 , 0.0 ,0.0 , 0.0 ,49.3 , 0.0 ,1.8 , 0.0 ,18.8 , 8.5 ,0.0 , 2.5
270,0.0 , 0.0 ,0.0 , 0.0 ,49.1 , 0.0 ,1.8 , 0.0 ,19.3 , 8.5 ,0.0 , 2.5
276,0.0 , 0.0 ,0.0 , 0.0 ,49.3 , 0.0 ,1.8 , 0.0 ,19.1 , 0.0 ,0.0 , 2.6
281,0.0 , 0.0 ,0.0 , 0.0 ,48.5 , 0.0 ,1.8 , 0.0 ,18.8 , 0.0 ,0.0 , 2.6
286,0.0 , 0.0 ,0.0 , 0.0 ,47.6 , 0.0 ,1.8 , 0.0 ,18.4 , 0.0 ,0.0 , 2.6
291,0.0 , 0.0 ,0.0 , 0.0 ,46.6 , 0.0 ,1.9 , 0.0 ,18.1 , 0.0 ,0.0 , 2.7
296,0.0 , 0.0 ,0.0 , 0.0 ,45.8 , 0.0 ,1.9 , 0.0 ,17.8 , 0.0 ,0.0 , 2.7
302,0.0 , 0.0 ,0.0 , 0.0 ,45.1 , 0.0 ,1.9 , 0.0 ,17.5 , 0.0 ,0.0 , 2.7
307,0.0 , 0.0 ,0.0 , 0.0 ,44.3 , 0.0 ,1.9 , 0.0 ,17.2 , 0.0 ,0.0 , 2.8
